keys,ja,en
MENU_FILE,ファイル,File
MENU_EDIT,編集,Edit
MENU_TOOL,ツール,Tool
FILE_NEW_DOCUMENT,新規ドキュメント,New Document
FILE_OPEN_DOCUMENT,ドキュメントを開く,Open Document
FILE_SAVE,上書き保存,Save
FILE_SAVE_AS,別名で保存,Save As
FILE_CLOSE_DOCUMENT,ドキュメントを閉じる,Close Document
FILE_EXPORT_IMAGE,画像のエクスポート,Export Image
EDIT_UNDO,もとに戻す,Undo
EDIT_REDO,やり直し,Redo
EDIT_CHANGE_DOCUMENT_SIZE,ドキュメントサイズの変更,Change Document Size
TOOL_CONFIG,環境設定,Config
TOOL_LICENSES,ライセンス,Licenses
BLEND_MODE_NORMAL,通常,Normal
BLEND_MODE_ADD,加算,Add
BLEND_MODE_MULTIPLY,乗算,Multiply
BLEND_MODE_SCREEN,スクリーン,Screen
BLEND_MODE_OVERLAY,オーバーレイ,Overlay
BOOLEAN_UNION,結合,Union
BOOLEAN_DIFF,除外,Diff
BOOLEAN_INTERSECT,交差,Intersect
BOOLEAN_XOR,中マド,Xor
LAYER_SETTINGS_FILL,"塗り: ","Fill: "
LAYER_SETTINGS_LINE,"線: ","Line: "
LAYER_SETTINGS_LINE_WIDTH,"線幅: ","Line Width: "
MATERIAL_SOLID,単色,Solid Color
MATERIAL_LINEAR_GRADIENT,線形グラデーション,Linear Gradiation
MATERIAL_RADIAL_GRADIENT,放射グラデーション,Radial Gradiation
MATERIAL_CONFIRM_DELETE_TITLE,マテリアルの削除の確認,Confirmation of Material Deletion
MATERIAL_CONFIRM_DELETE_TEXT,マテリアルを削除します。,Delete material.
MATERIAL_CONFIRM_DELETE_OK,OK,Confirm
MATERIAL_CONFIRM_DELETE_CANCEL,キャンセル,Cacnel
CONFIG_TITLE,環境設定,Config
CONFIG_LANGUAGE,"言語設定: ","Language: "
CONFIG_CURRENT_LANGUAGE,日本語,English
CONFIG_ENABLE_AUTO_SAVE,"自動保存を有効にする: ","Enable Auto Save: "
